ID,Video Name,Video URL
11,Goods and Services for Kids,https://www.youtube.com/watch?v=Jd4kD9TicbA
146,“Poem – India’s Pride”|| ICSE || CBSE || Grade 7 || Magic Lantern || English,https://www.youtube.com/watch?v=a2UfamERrE8
33,"How to Use a Microscope, Magnification | Grade 7 Science DepEd MELC Quarter 2 Module 2",https://www.youtube.com/watch?v=c6vUNJzoON0
111,"5th Grade Math 7.5, Compare Fraction Factors & Products",https://www.youtube.com/watch?v=ntQDtwr12tE
132,“Chapter –  Ruins in the Forest ” || Reference Guide || Grade 4 || Empowring English || ICSE,https://www.youtube.com/watch?v=H9dp2kj2ffA
87,Naming Metal and Non metal Grade 10,https://www.youtube.com/watch?v=AkXIYQusF38
129,SPIES || REFERENCE GUIDE || ENGLISH || GRADE 4,https://www.youtube.com/watch?v=qVlF00t1SmQ
47,The Position Vector   - (Lesson 10 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=-55wnhLysdg
90,Isotopes Grade 10 | Part 1,https://www.youtube.com/watch?v=vgEt7DCYVVo
118,A Simple DC Motor -(Lesson 14 of 17 -Physics Form 2 -Topic Magnetic Effect of an Electric Current),https://www.youtube.com/watch?v=dHQ1BFuFmxM
125,THE FLATTERED FLYING 🪽 FISH🐟 || ENGLISH POEM || SUMMARY || Empowering English || Grade 4,https://www.youtube.com/watch?v=h3yrPbid43s
76,What are GANs (Generative Adversarial Networks)?,https://www.youtube.com/watch?v=TpMIssRdhco
150,“Chapter 7 – My School Days”|| Magic Lantern || CBSE || ICSE || Class 7 || English,https://www.youtube.com/watch?v=0OnqUl9TEds
131,“Poem – The Blind Boy ”|| Reference Guide || Class 4 || ICSE || English,https://www.youtube.com/watch?v=IBdaVasXf3g
122,Oral Poetry - Lullabies Lesson 3- English Form 4- Topic Oral Poetry- KCSE Lesson Notes & Videos,https://www.youtube.com/watch?v=5X9VPVt29ks
160,Language and Style in Episode 2 of An Artist of the Floating World | EasyElimu,https://www.youtube.com/watch?v=wfXwvXEj3RY
173,What Do Various Nutrients Do for Our Body - Components of Food | Class 6 Science Chapter 1,https://www.youtube.com/watch?v=BXwJ1ACPPk8
44,Addition of column vectors   - (Lesson 7 of 16 Mathematics Form 2 Topic Vectors I ),https://www.youtube.com/watch?v=E60rkhIffew
60,"General English for GATE, PSUs, and Placements",https://www.youtube.com/watch?v=_8gNaALlD5Y
133,“Chapter – The Sea Storm”|| Reference Guide || Empowering English || Grade 4 || ICSE,https://www.youtube.com/watch?v=JTePlo1_xrw
189,"Introduction - Lights, Shadows and Reflections - | Class 6 Science Chapter 8",https://www.youtube.com/watch?v=3bOJfnCVFsk
130,“POEM – COLONEL FAZACKERLY” || REFERENCE GUIDE || GRADE 4 || ENGLISH || ICSE,https://www.youtube.com/watch?v=Hd2CqfXkNEQ
27,Lesson 8 - Renaming Fractions - (5th Grade Math),https://www.youtube.com/watch?v=vxth4e33HUU
120,Children's Songs Lesson 1 - English Form 4 -Topic 4- Oral Poetry- KCSE Lesson Notes & Videos,https://www.youtube.com/watch?v=THyQ8iJZFck
1,Adjectives for Kids | Homeschool Pop,https://www.youtube.com/watch?v=4jxXnHSbicY
