Video URL,Video Title,Presentation Complexity,Cleaned Video Name,Frame Rate (fps),Scene Transition Rate (Per Min),Average Scene Duration (in Mins),Average Motion Intensity,Average Texture Contrast,Average Texture Homogeneity,Dominant Color Standard Deviation (R),Dominant Color Standard Deviation (G),Dominant Color Standard Deviation (B),Bit Rate (Mbps),Compression Ratio,Average PSNR (dB),Average SSIM,Average Color Standard Deviation (R),Average Color Standard Deviation (G),Average Color Standard Deviation (B)
https://www.youtube.com/watch?v=WUCqyx8-jxc,Inequalities,1,Inequalities,23.847718526663,0.7761665915919611,0.858922135902933,5.317080987989902,3516.6871817331235,0.1592713929072648,65.48748213177869,61.190302775958784,51.974359577296944,1.3694028774889653,0.0025961554383708025,18.290714748425465,0.693378902616539,23.31253810187876,21.821213382502428,17.634905516379064
https://www.youtube.com/watch?v=xNZWb4ufpas,#class_6_English.#Complex_sentences_Topic.#Thursday_Lecture.#Activity_is_Grammar,1,class6EnglishComplexsentencesTopicThursdayLectureActivityisGrammar,29.612,1.5237735849056602,0.5468878982994883,4.401581969130691,2866.359647591879,0.0806653722927111,65.06718869900288,56.77358196258081,55.17871526745445,0.42678756703396226,0.002606455424925354,19.836557262395736,0.6030840399090486,15.121146851515277,12.88761631312667,11.656575502065852
https://www.youtube.com/watch?v=6Jvcn93RF2I,CONTROL SYSTEM I Semester Question l 2023-2024 I MCQ & Section B,1,CONTROLSYSTEMISemesterQuestionl20232024IMCQSectionB,29.561,0.0,7.997023104766415,1.9526784814482818,1085.8155037262873,0.24061834099612553,10.211328854982085,9.070987799488845,7.3806697334514055,1.185713218003384,0.0018134552038290405,28.623526816703414,0.852292599989649,5.360041864786557,5.949866291697076,4.751443073459424
https://www.youtube.com/watch?v=lpTEuqnFTHQ,Indian Market and its environment| unit 1 | marketing environment,1,IndianMarketanditsenvironmentunit1marketingenvironment,30.0,0.0,3.0955555555555554,6.006191973307648,722.6294913781799,0.11230925099001411,53.54386451515262,48.105199459660945,39.47789570184979,1.373970279971285,0.002070629400516139,21.97750053577204,0.629971643311495,16.015223339106953,16.20544092813412,18.851501803239415
https://www.youtube.com/watch?v=d6A9G5fVy1o,4 p's of marketing| marketing mix,1,4psofmarketingmarketingmix,30.0,0.305136463807425,1.638611111111111,6.284729923824875,988.905652406925,0.10158301548943395,44.19854991139286,39.97960584481046,39.29991790870186,1.8736626682488557,0.002823686264601502,19.733966434058935,0.5743483043985306,15.929912044461757,15.96185772425004,14.323962864811953
https://www.youtube.com/watch?v=Lh0EmT3sDg8,9th T chemistry (chapter#8),1,9thTchemistrychapter8,30.0,0.6434480645490757,1.3598611111111112,7.905992270613009,3352.079304131781,0.08755557027694322,61.68251691199397,59.40224248855864,56.355322549756636,0.8642981677050352,0.002928410718707428,16.966623674463207,0.5309836221196994,16.48746623975927,15.752132810897024,14.119757309852051
https://www.youtube.com/watch?v=QnHNrwFaavE,"10th T class chemistry (oxides of C, S and N)",1,10thTclasschemistryoxidesofCSandN,30.0,1.139000210925965,0.8104273504273505,9.039407949281644,2911.7750152115955,0.09745489808785215,71.67371978047747,67.90447916738451,62.879804065689825,0.9968184728960136,0.0033774153523723244,16.659806127498214,0.5488584349795735,18.36630928439981,17.891340539592722,16.37363009663054
https://www.youtube.com/watch?v=N8D8ZPk_eOA,question 1,1,question1,29.97002997002997,0.2693531752848709,2.4750651851851853,0.061748274718998485,3083.402214985694,0.6148794747316891,62.18080666583357,50.641630395215486,47.992121406450636,0.3649378003662006,0.0005583783611994098,50.07230230315464,0.9960405651641889,11.650369684784753,11.241205886104007,10.857927650441194
https://www.youtube.com/watch?v=pw9YwLmDoT0,"the wind and a boy | Summary, title, themes, setting, characterisation",1,thewindandaboySummarytitlethemessettingcharacterisation,49.95004995004995,0.0,6.680006666666666,0.08104608444901526,1277.755386399299,0.8482752584287556,4.66034680939447,4.643667129189697,4.658640466525336,0.18662043251453844,0.00018017655569738903,55.311930960961845,0.9933153190534894,1.477299642948025,1.41907586997118,1.6801477845703146
https://www.youtube.com/watch?v=cllO8C7xz-M,"Grade 12 Finance (How to determine future value, scrap value)",1,Grade12FinanceHowtodeterminefuturevaluescrapvalue,30.0,1.513399894902785,0.6218954248366013,3.2189765477931847,6751.8097581541015,0.4902451856108377,74.64184408285844,74.89316218755562,80.43581495428957,0.40859028901734107,0.0006568130931991722,44.560620400745464,0.8939730356546415,40.87288159044234,41.37206156913691,45.383619742262916
https://www.youtube.com/watch?v=Qps4o5oS5rQ,Grade 12 Finance (compound interest explained),1,Grade12Financecompoundinterestexplained,30.0,1.2805528736216272,0.7288518518518519,1.7463088803892628,6880.386745950128,0.525432165388869,65.93766914348812,69.90605827712785,75.49216311693003,0.46280777275268054,0.0007439682560967729,38.88062573516534,0.9021608417797312,36.23551497372007,39.076207366294604,42.97457242051001
https://www.youtube.com/watch?v=oe1b45y1_UE,Grade 12 Finance ( How to calculate interest earned & Monthly installment),1,Grade12FinanceHowtocalculateinterestearnedMonthlyinstallment,30.0,1.5228426395939085,0.591,1.937400306666479,7378.994220885009,0.5398677222157281,61.865208918974425,65.57134330849945,70.78800681154594,0.42446982515510434,0.00068233961091034,40.74385475704032,0.9139354891329515,28.29689137155817,30.292443179416505,33.137279827280885
